,Unnamed: 0.1,Unnamed: 0,Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
46,46,81,82,73.0,57,52,HoreKa-Green,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2021,Academic,90932,"77,328",8025.6,15006.79,"1,915,200",,,358.79,Submitted,22.37,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,2400.0,Linux,Linux,NVIDIA Tesla A100 40G,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"50,444",179965
47,47,83,84,75.0,56,33,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",National Institute for Fusion Science (NIFS),NEC,Japan,2020,Research,34560,,7892.7,10510.66,"5,047,920",,529.16,1550.1,Submitted,5.09,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,1584.0,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"48,476",179871
48,48,84,85,76.0,59,69,Underhill,"ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,148320,,7764.57,10916.35,"3,745,152",,,1294.72,Submitted,6.0,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,2300.0,Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180081
49,49,85,86,77.0,59,70,Robert,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,148320,,7764.57,10916.35,"3,745,152",,,1294.72,Submitted,6.0,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,2300.0,Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180082
50,50,86,87,78.0,55,29,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,Atos,France,2020,Research,294912,,7683.36,10469.38,"6,843,840",,,1655.0,Submitted,4.64,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179853
51,51,89,90,81.0,54,26,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,107568,"103,680",7257.0,9492.16,"2,304,000",,,673.0,Submitted,10.78,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700.0,Ubuntu,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,"50,813",179803
52,52,91,92,83.0,54,59,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,Atos,France,2019,Research,197120,,6988.04,12039.37,"6,792,576",,,1436.0,Submitted,4.87,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600.0,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,414",179700
53,53,92,93,,61,93,Gaia,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",Petróleo Brasileiro S.A,DELL EMC,Brazil,2023,Industry,76032,"76,032",6968.0,13728.0,"2,457,600",,,574.0,Submitted,12.14,,Cluster,AMD EPYC 74F3 24C 3.2GHz,AMD Zen-3 (Milan),3200.0,RHEL 7.8,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband,South America,"50,967",180173
54,54,94,95,85.0,58,71,"Karolina, GPU partition","Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,71424,"62,208",6752.0,9080.18,"1,710,720",,185.84,310.99,Submitted,21.71,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450.0,CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR200,Europe,"50,561",180026
55,55,97,98,88.0,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.12,"5,990,400",,122.24,1632.0,Submitted,3.96,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100.0,SUSE Linux,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"49,748",179067
56,56,98,99,89.0,60,89,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",Deutscher Wetterdienst,NEC,Germany,2022,Research,28160,,6434.0,8408.45,"4,307,460",,401.55,953.75,Submitted,6.75,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,1584.0,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,InfiniBand HDR 100,Europe,"47,712",180091
57,57,100,101,91.0,58,76,LUMI-C,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",EuroHPC/CSC,HPE,Finland,2021,Research,194560,,6299.79,7626.75,"6,201,599",,102.60,1215.53,Submitted,5.18,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450.0,HPE Cray OS,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,908",180045
58,58,101,102,93.0,51,23,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2018,Research,114480,,6177.73,9891.07,"4,996,992",,75.35,1361.0,Submitted,4.54,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700.0,CentOS,Linux,None,24,Xeon Platinum (Skylake),BullSequana X1000,BullSequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179424
59,59,103,104,95.0,57,67,SQUID - CPU Nodes,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",Osaka University,NEC,Japan,2021,Academic,115520,,6105.1,8871.94,"6,558,880",,82.87,1222.2,Submitted,5.0,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,2400.0,CentOS,Linux,None,38,Xeon Platinum 83xx (Ice Lake),NEC LX 103Bj-8,NEC Cluster,Infiniband,Infiniband HDR200,Asia,"48,585",179934
60,60,105,106,97.0,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,241108,,5951.55,7107.15,"6,500,160",,175.18,4407.0,Submitted,1.35,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800.0,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"48,408",177259
61,61,107,108,99.0,58,83,Narval (GPU),"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",Calcul Québec/Compute Canada,DELL EMC,Canada,2021,Academic,76320,"68,688",5886.0,12165.35,"1,769,472",,134.39,311.14,Submitted,18.92,,Cluster,AMD EPYC 7413 24C 2.65GHz,AMD Zen-3 (Milan),2650.0,Rocky Linux 8.4,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,"50,800",180032
62,62,108,109,100.0,54,37,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",Idaho National Laboratory,HPE,United States,2019,Research,99792,,5780.62,9220.61,"6,532,608",,,1432.0,Submitted,4.04,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900.0,RHEL 7.6,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,"47,650",179708
63,63,109,110,101.0,51,25,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.22,"5,667,840",,,1353.95,Submitted,4.23,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100.0,Cray Linux Environment ,Linux,None,24,Xeon Platinum (Skylake),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179414
64,64,110,111,102.0,51,26,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.22,"5,667,840",,,1353.95,Submitted,4.23,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100.0,Cray Linux Environment ,Linux,None,24,Xeon Platinum (Skylake),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179415
65,65,111,112,103.0,51,28,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,127520,,5612.83,9793.54,"5,213,184",,,1635.0,Submitted,3.43,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold (Skylake),Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,"48,331",179423
66,66,112,113,104.0,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,HPE,Saudi Arabia,2015,Academic,196608,,5536.99,7235.17,"9,738,048",,113.87,2834.0,Submitted,1.95,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300.0,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,205",178515
67,67,113,114,105.0,52,33,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,124416,,5444.64,8316.52,"6,931,200",,65.00,1685.73,Submitted,3.23,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,SLES12 SP2,Linux,None,20,Xeon Gold (Skylake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,"48,408",179589
68,68,116,117,108.0,55,47,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2020,Academic,169728,,5388.52,7060.68,"6,362,304",,,1070.0,Submitted,5.04,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600.0,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"47,508",179855
69,69,118,119,109.0,41,12,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Total Exploration Production,HPE,France,2013,Industry,220800,,5283.11,6712.32,"4,919,040",,162.69,4150.0,Submitted,1.27,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,"49,546",178071
70,70,120,121,111.0,58,95,"DiRAC, Tursa","BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",University of Edinburgh,Atos,United Kingdom,2021,Academic,55552,"48,384",5228.0,8580.0,"1,457,280",,,243.95,Submitted,21.43,,Cluster,AMD EPYC 7302 32C 3GHz,AMD Zen-2 (Rome),3000.0,Linux,Linux,NVIDIA Tesla A100 40G,32,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"49,151",180018
71,71,121,122,112.0,53,51,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,88400,"70,720",5161.0,6981.48,"4,455,360",,,1436.0,Submitted,3.59,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500.0,CentOS Linux 7,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Omnipath,Intel Omni-Path,North America,"48,296",179603
72,72,122,123,113.0,59,105,Athena,"FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Cyfronet,Format,Poland,2021,Academic,47616,"41,472",5051.0,7709.18,"1,391,616",,89.83,146.56,Submitted,34.46,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-2 (Rome),FormatServer THOR ERG21,FormatServer,Infiniband,Infiniband HDR,Europe,"47,634",180055
73,73,123,124,114.0,60,114,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",Deutscher Wetterdienst,NEC,Germany,2022,Research,21696,,5050.1,6539.9,"3,798,732",,326.76,834.04,Submitted,6.05,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,1584.0,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,InfiniBand HDR 100,Europe,"47,712",180090
74,74,127,128,118.0,48,21,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,144900,,4788.19,5332.32,"5,171,520",,87.28,1727.0,Submitted,2.77,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300.0,SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,"48,418",178965
75,75,135,136,125.0,57,93,Wisteria/BDEC-01 (Aquarius),"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,42120,"38,880",4425.0,7268.83,"1,347,016",,84.71,183.93,Submitted,24.06,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400.0,Linux,Linux,NVIDIA A100 SXM4 40 GB,36,Xeon Platinum 83xx (Ice Lake),PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband HDR,Asia,"50,096",179963
76,76,136,137,126.0,55,56,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2020,Industry,91936,"87,040",4376.0,8848.49,"2,081,280",,,546.58,Submitted,8.01,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,2600.0,CentOS,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179854
77,77,137,138,127.0,52,38,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,163840,"131,072",4325.0,6134.17,"1,876,000",,,380.0,Submitted,11.38,,Cluster,Hygon Dhyana 32C 2GHz,X86_64,2000.0,CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Asia,"50,797",179593
78,78,138,139,128.0,56,67,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",EDF,Atos,France,2020,Industry,81600,,4299.33,7136.87,"6,317,568",,,1225.53,Submitted,3.51,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400.0,Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),BullSequana X,BullSequana,Infiniband,Infiniband HDR,Europe,"50,679",179899
79,79,139,140,129.0,53,45,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,76608,,4289.85,6618.93,"5,124,856",,53.53,845.09,Submitted,5.08,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,2700.0,Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"50,096",179606
80,80,140,141,130.0,56,69,SNL/NNSA CTS-1 Manzano,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2020,Research,71424,,4281.0,6628.15,"5,491,968","5,184,000",40.29,960.0,Submitted,4.46,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900.0,Linux/TOSS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179907
81,81,147,148,131.0,59,121,Noctua 2,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Universitaet Paderborn - PC2,Atos,Germany,2022,Academic,135168,,4190.9,5298.59,"5,241,600",,,868.74,Submitted,4.82,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450.0,Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"49,104",180071
82,82,153,154,133.0,51,34,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Atos,France,2017,Research,79488,,4065.55,6635.52,"5,861,568",,52.68,917.0,Submitted,4.43,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700.0,bullx SCS,Linux,None,24,Xeon Platinum (Skylake),BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand EDR,Europe,"50,414",179411
83,83,154,155,134.0,45,13,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,HPE,United States,2015,Industry,145920,,4042.46,5369.86,"8,338,176",,,1800.0,Submitted,2.25,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300.0,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,602",178556
84,84,156,157,174.0,59,184,Alex,"MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,37696,"32,832",4030.0,6083.65,"1,225,728",,83.46,178.97,Submitted,22.52,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000.0,AlmaLinux 8.5,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),MEGWARE NF5488A5,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,"49,515",180075
85,85,161,162,137.0,43,21,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,HPE,United Kingdom,2016,Research,126468,,3944.68,4249.33,"7,171,008",,65.46,1897.02,Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"47,752",178431
86,86,162,163,138.0,47,19,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,HPE,United Kingdom,2016,Research,126468,,3944.68,4249.33,"7,171,008",,65.46,1897.02,Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"47,752",178749
87,87,164,165,,61,165,Gemini,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",Petróleo Brasileiro S.A,DELL EMC,Brazil,2023,Industry,38016,"38,016",3861.0,6864.0,"1,752,064",,,287.0,Submitted,13.45,,Cluster,AMD EPYC 74F3 24C 3.2GHz,AMD Zen-3 (Milan),3200.0,RHEL 7.8,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband,South America,"50,967",180174
88,88,168,169,143.0,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,HPE,India,2018,Research,119232,,3763.94,4006.2,"5,935,104",,,1353.23,Submitted,2.78,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,296",179416
89,89,175,176,254.0,58,403,Snellius Phase 1 GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",SURF,Lenovo,Netherlands,2022,Research,12960,"7,776",3603.0,6014.13,"1,193,472",,54.53,205.35,Submitted,17.55,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400.0,CentOS Linux 8.4,Linux,NVIDIA A100 SXM4 40 GB,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Europe,"50,900",180033
90,90,176,177,150.0,51,53,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,80640,,3599.66,6253.06,"3,276,672",,,919.42,Submitted,3.92,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,CentOS,Linux,None,20,Xeon Gold (Skylake),ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,4xEDR Infiniband,North America,"50,206",179408
91,91,177,178,151.0,59,323,Fritz,"Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,71424,,3578.03,5452.18,"4,543,488",,53.37,671.97,Submitted,5.32,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400.0,AlmaLinux 8.5,Linux,None,36,Xeon Platinum 83xx (Ice Lake),Megware D50TNP,MEGWARE Cluster,Infiniband,InfiniBand HDR100,Europe,"49,515",180074
92,92,178,179,152.0,44,11,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2014,Government,72800,"62,400",3577.0,6131.84,"2,336,000",,,1498.9,Submitted,2.39,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200.0,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178445
93,93,179,180,153.0,45,15,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2015,Government,72800,"62,400",3577.0,6131.84,"2,336,000",,,1498.9,Submitted,2.39,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200.0,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178519
94,94,180,181,154.0,59,143,Anvil,"PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100",Purdue University,DELL EMC,United States,2022,Academic,127488,,3563.1,4997.53,"5,492,025",,,792.0,Submitted,4.5,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450.0,Rocky Linux 8.4,Linux,None,64,AMD Zen-3 (Milan),PowerEdge 6525,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR 100,North America,"48,657",180085
95,95,185,186,158.0,56,85,Altair,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",PCSS Poznan,Huawei,Poland,2020,Academic,63360,,3533.61,5879.81,"5,216,256",,,829.0,Submitted,4.26,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900.0,CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,183",179903
